Gene_Symbol
CG13965
CG4552
CG4619
CG17097
CG5261
CG14536
Slh///CG15393
GABA-B-R3
CG15489
CG6201
Acp29AB
Peritrophin-15a
Tsp26A
CG13120
CG8451
ab
CG5160
Ski6
CG13078
CG10639
CG10621
Idgf3
CG3702
ref2
CG15818
stc
CG31678
CG15867
CG12789
CG11864
CG3515
CG9531
GluRIIB
CG6138
Lsp1
Art2
salm
lectin-24Db
CG2983
CG8680
Pkg21D
mib2
lectin-30A
CG9320
Ddr
Dap160
beat-IIIb
CG17343
Uch
CG11929
CG12512
CG17904
l(2)01810
CG17234
GluRIIC
CG3604
CG10722
CG14034
UbcD2
CG7191
CG15293
CG9109
yellow-b
CG7289
CG13095
Gyc32E
Acp26Aa
CG9497
CG4271
CG31883
CG11327
CG4438
CG31875
Acp32CD
CG11592
CG2975
lectin-29Ca
CG10651
Spn3
CG7337
---
CG15412
CG15358
Tsp
CG8665
CG3662
ninaA
Tsp29Fb
CG2657
lectin-24A
CG7203
rho-6
CG31660
CG6108
CG8997
ft
CG10158
CG17472
CG9498
Cyp309a1
CG11885
CG13085
CG2794
hgo
CG15627
CG13794
CG12674
CG16712
CG18131
CG31902
CG10019
Acp26Ab
CG15479
CG10366
CG15635
CG9318
CG9029
CG4968
CG5043
CG15403
CG15286
Peritrophin-15b
CG7742
CG9254
CG14006
Hsp60B
ms(2)35Ci
CG3473
Lim3
CG4988
CG10750
qtc
CG17098
Cyt-c-d
CG15399
Trf
CG13245
CG13991
sip2///Dyaksip2
CG9961
CG5343
CadN
CG4891
CG12307
CG31797
nmo///CG3841
CG17350
CG15631
CG10600
CG7295
CG16972
Dhc36C
CG12448
CG7363
Acyp
CG18641
CG16848
Cdlc2
CG16995
CG4270
robl22E
CG16820
DLP
CG3964
CG17648
PICK1
CG2955
CG11562
CG14020
ACXA
Pen
CG8837
CG31851
SP555
CG13771
Cyp28d1
Mst33A
PpD6
CG31924
CG4995
CG4648
CG16854
CG16888
CG8292
CG6304
CG12677
---
Cyp4ac3
CG9314
CG17494
CG17657///frtz
CG14013
CG7251
CG15144
CG12448
CG14071
CG15260
CG9147
CG4375
CG10561
CG11043
CG7329
CG10730
CG15278
CG17118
Tsp33B
Pros6T
CG17378
CG7311
CG8838
CG9264
CG14017
CG7082
CG17258
CG31806
CG6138
CG9259
CG11201
CG13127
CG15824
CG8349
ACXB
CG13947
Ucp4C
tio
CG14929
---
Pkd2
CG31952
CG4631
CG9550
CG9014
CG5045
CG8673
loqs
CG9323
CG6441
CG15418
CG5381
Idgf3
CG5790
CG15167
---
neb
CG11634
CG6405
CG7263
CG8851
Acp36DE
capu
CG5565
CG4230
CG18132
CG9263
CG17470
Oatp30B
slmo
CG17377
CG32986
CG4701
CG17010
CG10947
CG16853
CG7211
CG3748
robl37BC
CG17237
CG15475
trp
CG8840
CG13958
CG12617
ms(2)35Ci
vig
CG12620
Fas3
CG5155
CG4480
CG6138
CG18266
CG17376
CG9542
qua
CG8851
CG5561
CG14000
CG16954
CG13693
CG16965
CG11630
CG17567
CG18109
CG5458
CG4270
ACXC
CG2964
hoe2
CG9222
CG5681
CG14011
CG17217
CG5435
CG31818
CG17005
CG15429
lilli
CG15258
CG9500
CG3980
Arr1///DyakArr1
CG9243
CG5693
CG15287///CG33090
CG9582
CG15136
CG17010
Aldh
CG8552
CG10383
CG14921
CG18662
CG7653
CG15219
CG5050
CG7300
CG15483
CG13125
CG6614
CG5781
CG5755
CG13243
Tsp
CG1428
Scg
osm-6
CG4983
CG7235
CG5122
Ucp4B
CG11023
Side
CG14402
CG17261
CG13946
Mst35Bb
Fas3
CG15149
CG6565
CG17564
Osi21
CG3117
CG7309
CG31933
CG15147
CG7311
CG31960
CG17344
Cyp309a2
CG31948
nompB
CG7075
CG8813
CG5556
CG4705
CG15145
CG5968
DnaJ-H
CG1421
CG18666
CG17376
CG15172
CG18063
CG15623
CG31705
CG13280
FucTB
CG7094
CG16825
CG4959
CG14537
CG15825
CG17376
CG10834
CG10493
CG4691
CG17377
CG3557
CG3544
CG3345
CG4892
CG18810
CG10026
Lip2
CG11374
CG14926
CG5075
CG16957
CG17302
Spn2
Ucp4B
Tom70
CG4218
TpnC25D
CG5139
CG31960///CG31958
CG10859
salr
CG9264
CG9121
net
CG11912
CG12438
CG15425
CYLD
CG9316
prd
CG17104
CG15143
CG10650
CG17378
CG17139///CG17140
CG11322
CG9468
CG17375
CG6675
CG12506
CG15394
CG6380
Spn7
CG6691
CG31773
CG4896
CG15434
CG4213
CG13110
CG13989
CG14043
CG15482
Ucp4B
rab3-GAP
CG9483
CG12194
CG15828
Porin2
CSN1a
CG17349
CG7134
CG31752
CG31867
Pect///DyakPect
CG9463
CG17301
CG4161
CG18558
CG6412
CG7164
CG10869
Ptth
CG16964
CG17324
CG7196
CG10839
CG31802
CG31679
Tektin-A
fu12
CG3964
CG3213
Acer
Rab14
CG14017
CG13385
CG13088
CG11629
gft
CG15398
CG31872
CG12314
CG7180
l(2)35Di
CG14930
l(2)35Di
nrv2
CG11319
lectin-28C
Cyt-c-p
NLaz
CG6488
CG14939
lectin-21Ca
SamDC
morgue
CdGAPr
CG4415
ebi
CG16833
CG9934
CG4629
toc
CG17568
ia2
CG5604
CG7795
CG9962
CG31642
CG3491
CG15626
CG14932
bowl
NPC1
CG7093
CG5204
CG9336
CG4930
Hr39
CG10447
CG8678
und
CG31935
Hr39
elfless
CG3645
CG9511
CG5888
CG4272
CG5366
Thor
Oscillin
Stam
Pk34A
Hr39
CG17242
Sos
Top2
vri
CG5022
CG7382
CG10283
Mpp6
Mhc
c(2)M
Hr39
TfIIB
CG5171
CG17650
CG9886
okr
CG3347
Rab30
SamDC
CG14072
CG14346
CG16863
crp
Rpp30
CG7516
CG14023
CG6230
CG8298
Got1
Lcp9
CG4372
CG15121
lectin-46Cb
Dll
CG30165
Or47a
Dox-A3
Mmp2
---
CG15088
CG8160
Try
Ptr
Pepck
CG12444
CG6018
CG9000
CG10257
CG6220
Jon44E
Gr57a
CG15088
CG12934
Obp56e///DyakObp56e
CG9975
CG11112
CG15088
CG15649
CG3875
ppk12
CG30281
CG13499
CG10911
CG3292
PpN58A
Acp53Ea///DyakAcp53Ea
CG13561
CG4019
CG3955
Oatp58Db
CG13499
CG30438
CG9865
en
CG13582
exu
CG13556
l(2)tid
Obp44a
Fmrf
yellow-d
CG4781
Mdr50
CG13577
CG18635
Dat
Dpt
CG3640
CG11112
Cyp317a1
Acp53C14a
CG30365
Cyp6a2
nemy
Cng
CG9895///DpseGA22108
CG8394
Or59c
CG11413
CG5765
CG10910
lectin-46Ca
CG13567
CG4676
CG13323
Or42a
Or42b
sm
CG1701
CG6484
CG10956
CG1675
Dll
CG12164
CG11113
CG3790
igl
CG8728
Try
CG13742
Tkr
CG5756
CG30190
Tab2
Dll
CG4734
CG15225
CG8291
phtf
CG8531
CG15234
CG12958
CG11275
CG2921
CG4927
CG30195
CG9083
CG30029
CG1902
CG18416
CG12943
CG18432
CG17049
CG17669
CG11196
CG18368
exu
CG8701
Obp56d
CG9010
CG15909
CG8204
Vps28
CG10950
CG11145
CG8214
CG4681
CG3927
CG5493
CG30268
PS4
CG18449
Pmm45A
CG13229
CG13202
CG15086
Adgf-E
CG8102
CG15653
CG13326
CG15800
CG16716
CG15925
gom
CG7755
CG8197
Klp59C
CG11807
CG30350
CG3565
CG11165
CG2291
CG6262
CG12699
veg
Crtp
CG9001
Menl-1///Menl-2
CG1690
CG15657
CG14488
CG30384
rnh1
CG17821
CG13501
CG30094
CG3701
CG12126
NaCP60E
CG4750
CG12133
CG7856
CG30485
CG17050
CG15708
CG30161
CG12214
CG18369
sut4
CG8654
CG9002///CG30461
CG8525
CG8746
CG30178
CG13526
CG10934
CG12963
CG30222
DnaJ-60
CG10202
CG12831
CG9235
CG14744
CG12851
CG13330
CG17977
CG8517
CG18371
Klp59D
Obp56g
Menl-1///Menl-2
CG5539
CG10459
CG4744
CG5348
CG12860
CG1418///DpseGA12807
CG17575
CG8584
CG13539
CG12857
CG30194
CG18336
CG13186
Tsp42Eq
CG30103
CG8494
PpN58A
CG15109
CG3788
CG8257
CG30271
Roe1
CG3492
CG5597
CG8979
CG13176
Treh
CG9455
CG15233
CG4712
Peb
CG13171
CG16926
skpF
CG13436
CG9002
CG4714
CG3687
CG14748
CG16837
CG11475
CG14589
CG6209
CG16786
CkII2
CG14505
Pmm45A
CG15124
CG33017
CG3085
CG1946
CG6701
CG8388
CG15711
CG12209
CG8245
CG2137
CG3092
CG12907
CG10249
CG3124
CG13541
CG11298
CG10440
CG4439
CG11291
CG18568
CG15125
SIP2
CG14763
CG11423
CG6301
CG13870
CG2127
CG15705
Pof
CG10396
CG15128
CG12923
CG5398
CG3394
CG3494
CG9875
CG3121
Tsp42Ek
CG30222
Pros5R1
CG13747
pio
CG3215
CG8252
CG33988
CG12736
CG11018
CG4329
CG11778
CG9410
CG13527
Spn1
