GEO_no	SRR_id	merged_SRR	species	tissue	liLBaryType	totalReads	trimmedReads	mappedReads	%mapped	path	batch	merged_tissue	merged_tissue2
PRJNA575046	SRR10253178	SRR10253178	dme	AG	PE	27459417	25892825	20539721	79.33%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	4	AG	AG
PRJNA575046	SRR10253179	SRR10253179	dme	AG	PE	19269534	18351301	14387569	78.40%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	4	AG	AG
GSE52058	SRR1023997	SRR1023997	dps	TE	SE	99086264	98140666	87910789	89.58%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	TE	TE
GSE52058	SRR1023998	SRR1023998	dps	TE	SE	73527600	72890784	66444347	91.16%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	TE	TE
GSE52058	SRR1023999	SRR1023999	dps	OV	SE	5427941	5404512	4486624	83.02%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	OV	OV
GSE52058	SRR1024000	SRR1024000	dps	OV	SE	44207415	44005787	39217826	89.12%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	OV	OV
GSE52058	SRR1024001	SRR1024001	dps	OV	SE	5503418	5476170	4771989	87.14%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	OV	OV
GSE52058	SRR1024002	SRR1024002	dan	TE	SE	81099212	80365873	72603914	90.34%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	TE	TE
GSE52058	SRR1024003	SRR1024003	dan	TE	SE	72604108	71938329	64883748	90.19%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	TE	TE
GSE52058	SRR1024004	SRR1024004	dan	OV	SE	72244926	71554077	63783007	89.14%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	OV	OV
GSE52058	SRR1024005	SRR1024005	dan	OV	SE	80940138	80128994	71517537	89.25%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	OV	OV
GSE52058	SRR1024006	SRR1024006	dya	TE	SE	104083026	101142770	74587578	73.74%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	TE	TE
GSE52058	SRR1024007	SRR1024007	dya	OV	SE	2014340	1997070	1612200	80.73%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	OV	OV
GSE52058	SRR1024008	SRR1024008	dya	OV	SE	18992922	18745310	16471951	87.87%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	OV	OV
GSE52058	SRR1024009	SRR1024009	dya	OV	SE	76908730	76134605	63235130	83.06%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	5	OV	OV
PRJNA193071	SRR1511606	SRR1511606	dsi	OV	SE	61430182	57862402	39310775	67.94%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	6	OV	OV
PRJNA193071	"SRR1511608,SRR1511609"	SRR1511608	dsi	OV	PE	99288114	88459787	48472201	54.80%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	6	OV	OV
PRJNA193071	"SRR1520537,SRR1548740,SRR1548741"	SRR1520537	dsi	TE	PE	164247988	148394959	86020066	57.97%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	6	TE	TE
PRJNA196536	SRR831694	SRR831694	dya	OV	SE	73350113	68264146	47500529	69.58%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	7	OV	OV
PRJNA196536	SRR1528906	SRR1528906	dya	OV	SE	73350113	68264146	47500542	69.58%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	7	OV	OV
PRJNA196536	"SRR1693746,SRR1693751"	SRR1693746	dya	OV	PE	114293939	100130607	62003902	61.92%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	7	OV	OV
PRJNA196536	"SRR1693748,SRR1693753,SRR1693755"	SRR1693748	dya	TE	PE	171369206	149898008	82155560	54.81%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	7	TE	TE
PRJNA257287	SRR2020999	SRR2020999	dme	OV	PE	44104658	39799649	25113573	63.10%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	8	OV	OV
PRJNA257287	SRR2021001	SRR2021001	dme	TE	PE	42748857	39457938	20259607	51.34%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	8	TE	TE
PRJNA257286	SRR2021003	SRR2021003	dan	OV	PE	42009242	37504414	17734381	47.29%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	8	OV	OV
PRJNA257286	SRR2021004 	SRR2021004	dan	TE	PE	51443655	45366708	23523162	51.85%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	8	TE	TE
PRJNA394978	SRR5839438	SRR5839438	dme	HD.f	PE	60052327	51154142	40701996	79.57%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	9	HD.f	HD
PRJNA394978	SRR5839439	SRR5839439	dme	OV	PE	119000998	89944418	70659319	78.56%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	9	OV	OV
PRJNA394978	SRR5839440	SRR5839440	dme	TE	PE	37837520	33067747	25145307	76.04%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	9	TE	TE
#PRJNA394978	SRR5839441	SRR5839441	dvi	HD.f	PE	85870214	58311485	47923258	82.18%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	9	HD.f	HD
#PRJNA394978	SRR5839442	SRR5839442	dvi	OV	PE	88638715	61287781	50909862	83.07%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	9	OV	OV
#PRJNA394978	SRR5839443	SRR5839443	dvi	TE	PE	87664690	61497906	53052398	86.27%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	9	TE	TE
PRJNA394978	SRR5839444	SRR5839444	dya	HD.f	PE	81565770	57645570	43039791	74.66%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	9	HD.f	HD
PRJNA394978	SRR5839445	SRR5839445	dya	OV	PE	95115184	64848365	51320352	79.14%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	9	OV	OV
PRJNA394978	SRR5839446	SRR5839446	dya	TE	PE	95834094	67230248	52542834	78.15%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	9	TE	TE
GSE59707	SRR1523556	SRR1523556	dme	EA	SE	16221093	15172191	13114496	86.44%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	EA	EA
GSE59707	SRR1523557	SRR1523557	dme	EA	SE	15501132	14160784	13002602	91.82%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	EA	EA
GSE59707	SRR1523558	SRR1523558	dsi	EA	SE	13140413	12563648	7706786	61.34%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	EA	EA
GSE59707	SRR1523559	SRR1523559	dya	EA	SE	22046149	19927482	17389587	87.26%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	EA	EA
GSE59707	SRR1523560	SRR1523560	dan	EA	SE	21068990	19145566	17427418	91.03%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	EA	EA
GSE59707	SRR1523561	SRR1523561	dps	EA	SE	19788682	18277244	16108094	88.13%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	EA	EA
#GSE59707	SRR1523562	SRR1523562	dwi	EA	SE	23806628	18559387	14779137	79.63%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	EA	EA
#GSE59707	SRR1523563	SRR1523563	dmo	EA	SE	8235737	5957185		0.00%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	EA	EA
#GSE59707	SRR1523564	SRR1523564	dvi	EA	SE	21959339	19832801	13112870	66.12%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	EA	EA
GSE59707	SRR1523565	SRR1523565	dme	WI	SE	5363179	4989238	4458168	89.36%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	WI	WI
GSE59707	SRR1523566	SRR1523566	dme	WI	SE	16893547	15360161	14140910	92.06%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	WI	WI
GSE59707	SRR1523567	SRR1523567	dsi	WI	SE	10302158	9961542	9105674	91.41%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	WI	WI
GSE59707	SRR1523568	SRR1523568	dya	WI	SE	27138711	24297049	20102837	82.74%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	WI	WI
GSE59707	SRR1523569	SRR1523569	dan	WI	SE	20727815	18829443	17292628	91.84%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	WI	WI
GSE59707	SRR1523570	SRR1523570	dps	WI	SE	19549465	17924033	15762456	87.94%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	WI	WI
#GSE59707	SRR1523571	SRR1523571	dwi	WI	SE	26400114	20946103	17471803	83.41%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	WI	WI
#GSE59707	SRR1523572	SRR1523572	dmo	WI	SE	9416857	6696366		0.00%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	WI	WI
#GSE59707	SRR1523573	SRR1523573	dvi	WI	SE	18284145	17078719	14630178	85.66%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	WI	WI
GSE59707	SRR1523574	SRR1523574	dme	LB	SE	25889283	24104659	22042174	91.44%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	LB	LB
GSE59707	SRR1523575	SRR1523575	dme	LB	SE	16890568	15371097	14113625	91.82%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	LB	LB
GSE59707	SRR1523576	SRR1523576	dsi	LB	SE	15137242	14598639	12808119	87.74%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	LB	LB
GSE59707	SRR1523577	SRR1523577	dya	LB	SE	23046921	20638856	17581214	85.19%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	LB	LB
GSE59707	SRR1523578	SRR1523578	dan	LB	SE	15018672	13738794	12346226	89.86%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	LB	LB
GSE59707	SRR1523579	SRR1523579	dps	LB	SE	18488260	17164296	14850538	86.52%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	LB	LB
#GSE59707	SRR1523580	SRR1523580	dwi	LB	SE	32630702	25250222	20801916	82.38%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	LB	LB
#GSE59707	SRR1523581	SRR1523581	dmo	LB	SE	11242043	7930854		0.00%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	LB	LB
#GSE59707	SRR1523582	SRR1523582	dvi	LB	SE	18903820	17696662	15195289	85.87%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	10	LB	LB
SRP035389	"SRR1107940,SRR1107941"	SRR1107940	dsi	HD.m	PE	5669702	5657879	4232411	74.81%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	11	HD.m	HD
SRP035389	"SRR1107942,SRR1107943"	SRR1107942	dsi	HD.m	PE	31692752	31369822	23837113	75.99%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	11	HD.m	HD
SRP035389	"SRR1107944,SRR1107945"	SRR1107944	dsi	HD.m	PE	32317222	32169825	23069819	71.71%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	11	HD.m	HD
